r,z,plas.ne (1/m^3) @ 13: Time=0.1 s /  p0=1.3332 Pa /  Power=100 W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=200W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=300W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=400W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=500W
6.678571429,1.835605782,2.23E+15,4.92E+15,7.55E+15,1.02E+16,1.27E+16
6.678571429,1.835605782,4.13E+15,8.60E+15,1.30E+16,1.74E+16,2.18E+16
6.678571429,1.835605782,6.13E+15,1.25E+16,1.89E+16,2.53E+16,3.16E+16
6.678571429,1.835605782,8.19E+15,1.66E+16,2.51E+16,3.34E+16,4.17E+16
6.678571429,2.828238549,9.25E+14,2.53E+15,4.16E+15,5.76E+15,7.33E+15
6.678571429,2.828238549,3.72E+15,7.92E+15,1.20E+16,1.60E+16,2.00E+16
6.678571429,2.828238549,6.83E+15,1.38E+16,2.07E+16,2.75E+16,3.42E+16
6.678571429,2.828238549,1.01E+16,2.01E+16,3.00E+16,3.99E+16,4.97E+16
6.678571429,2.828238549,1.34E+16,2.66E+16,3.98E+16,5.28E+16,6.57E+16
6.801637181,102.0471011,2.68E+15,6.78E+15,1.08E+16,1.46E+16,1.83E+16
6.801637181,102.0471011,9.78E+15,1.98E+16,2.93E+16,3.86E+16,4.79E+16
6.801637181,102.0471011,1.73E+16,3.37E+16,4.97E+16,6.55E+16,8.12E+16
6.801637181,102.0471011,2.50E+16,4.86E+16,7.17E+16,9.46E+16,1.17E+17
6.801637181,102.0471011,3.30E+16,6.41E+16,9.46E+16,1.25E+17,1.55E+17
6.818181818,105.3134856,1.35E+15,3.43E+15,5.47E+15,7.42E+15,9.32E+15
6.818181818,105.3134856,4.56E+15,9.31E+15,1.38E+16,1.83E+16,2.27E+16
6.818181818,105.3134856,7.87E+15,1.55E+16,2.29E+16,3.03E+16,3.76E+16
6.818181818,105.3134856,1.13E+16,2.21E+16,3.27E+16,4.32E+16,5.36E+16
6.818181818,105.3134856,1.47E+16,2.89E+16,4.28E+16,5.66E+16,7.03E+16
6.818181818,106.2563771,9.68E+14,2.48E+15,3.95E+15,5.36E+15,6.74E+15
6.818181818,106.2563771,3.07E+15,6.31E+15,9.41E+15,1.24E+16,1.54E+16
6.818181818,106.2563771,5.17E+15,1.03E+16,1.53E+16,2.02E+16,2.50E+16
6.818181818,106.2563771,7.32E+15,1.45E+16,2.15E+16,2.84E+16,3.53E+16
6.818181818,106.2563771,9.51E+15,1.88E+16,2.80E+16,3.70E+16,4.60E+16
6.818181818,106.9298711,7.02E+14,1.80E+15,2.86E+15,3.89E+15,4.89E+15
6.818181818,106.9298711,2.01E+15,4.17E+15,6.24E+15,8.27E+15,1.03E+16
6.818181818,106.9298711,3.25E+15,6.53E+15,9.75E+15,1.29E+16,1.61E+16
6.818181818,106.9298711,4.51E+15,9.02E+15,1.35E+16,1.79E+16,2.22E+16
6.818181818,106.9298711,5.78E+15,1.16E+16,1.73E+16,2.30E+16,2.86E+16
6.818181818,107.4109382,5.22E+14,1.32E+15,2.10E+15,2.85E+15,3.58E+15
6.818181818,107.4109382,1.29E+15,2.68E+15,4.01E+15,5.33E+15,6.62E+15
6.818181818,107.4109382,1.94E+15,3.92E+15,5.88E+15,7.82E+15,9.74E+15
6.818181818,107.4109382,2.56E+15,5.20E+15,7.82E+15,1.04E+16,1.30E+16
6.818181818,107.4109382,3.19E+15,6.50E+15,9.79E+15,1.31E+16,1.63E+16
6.818181818,107.7545576,3.99E+14,9.91E+14,1.56E+15,2.11E+15,2.65E+15
6.818181818,107.7545576,8.03E+14,1.64E+15,2.44E+15,3.23E+15,4.00E+15
6.818181818,107.7545576,1.05E+15,2.10E+15,3.13E+15,4.16E+15,5.17E+15
6.818181818,107.7545576,1.26E+15,2.53E+15,3.79E+15,5.04E+15,6.28E+15
6.818181818,107.7545576,1.45E+15,2.94E+15,4.41E+15,5.88E+15,7.35E+15
6.818181818,108,3.19E+14,7.75E+14,1.21E+15,1.63E+15,2.04E+15
6.818181818,108,5.19E+14,1.03E+15,1.51E+15,1.99E+15,2.45E+15
6.818181818,108,5.78E+14,1.11E+15,1.63E+15,2.14E+15,2.65E+15
6.818181818,108,6.06E+14,1.16E+15,1.71E+15,2.25E+15,2.78E+15
6.818181818,108,6.22E+14,1.20E+15,1.76E+15,2.32E+15,2.87E+15
8.300116187,4.304322671,1.52E+15,4.04E+15,6.56E+15,9.01E+15,1.14E+16
8.300116187,4.304322671,6.07E+15,1.26E+16,1.89E+16,2.51E+16,3.12E+16
8.300116187,4.304322671,1.11E+16,2.20E+16,3.26E+16,4.32E+16,5.37E+16
8.300116187,4.304322671,1.62E+16,3.19E+16,4.74E+16,6.27E+16,7.79E+16
8.300116187,4.304322671,2.15E+16,4.22E+16,6.27E+16,8.30E+16,1.03E+17
10.08818968,7.991418363,2.95E+15,7.62E+15,1.22E+16,1.67E+16,2.10E+16
10.08818968,7.991418363,1.16E+16,2.37E+16,3.53E+16,4.66E+16,5.78E+16
